"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/active_gnb_count","2026-05-08_13-32 - external/active_gnb_count__MIN","2026-05-08_13-32 - external/active_gnb_count__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"1775","8","8","8","1775","1775","1775","6","6","6","1775","1775","1775","7","7","7","1775","1775","1775","5","5","5","1775","1775","1775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1776","8","8","8","1776","1776","1776","3","3","3","1776","1776","1776","8","8","8","1776","1776","1776","6","6","6","1776","1776","1776","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1777","6","6","6","1777","1777","1777","7","7","7","1777","1777","1777","8","8","8","1777","1777","1777","5","5","5","1777","1777","1777","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1778","5","5","5","1778","1778","1778","6","6","6","1778","1778","1778","8","8","8","1778","1778","1778","5","5","5","1778","1778","1778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1779","5","5","5","1779","1779","1779","4","4","4","1779","1779","1779","8","8","8","1779","1779","1779","5","5","5","1779","1779","1779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1780","6","6","6","1780","1780","1780","4","4","4","1780","1780","1780","8","8","8","1780","1780","1780","6","6","6","1780","1780","1780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1781","5","5","5","1781","1781","1781","6","6","6","1781","1781","1781","8","8","8","1781","1781","1781","6","6","6","1781","1781","1781","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1782","6","6","6","1782","1782","1782","5","5","5","1782","1782","1782","8","8","8","1782","1782","1782","6","6","6","1782","1782","1782","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783","6","6","6","1783","1783","1783","6","6","6","1783","1783","1783","8","8","8","1783","1783","1783","6","6","6","1783","1783","1783","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1784","5","5","5","1784","1784","1784","6","6","6","1784","1784","1784","8","8","8","1784","1784","1784","6","6","6","1784","1784","1784","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1785","7","7","7","1785","1785","1785","5","5","5","1785","1785","1785","8","8","8","1785","1785","1785","6","6","6","1785","1785","1785","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1786","8","8","8","1786","1786","1786","7","7","7","1786","1786","1786","8","8","8","1786","1786","1786","6","6","6","1786","1786","1786","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1787","6","6","6","1787","1787","1787","4","4","4","1787","1787","1787","8","8","8","1787","1787","1787","6","6","6","1787","1787","1787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1788","8","8","8","1788","1788","1788","6","6","6","1788","1788","1788","8","8","8","1788","1788","1788","6","6","6","1788","1788","1788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1789","7","7","7","1789","1789","1789","8","8","8","1789","1789","1789","8","8","8","1789","1789","1789","6","6","6","1789","1789","1789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1790","7","7","7","1790","1790","1790","7","7","7","1790","1790","1790","8","8","8","1790","1790","1790","6","6","6","1790","1790","1790","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1791","6","6","6","1791","1791","1791","5","5","5","1791","1791","1791","8","8","8","1791","1791","1791","6","6","6","1791","1791","1791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1792","6","6","6","1792","1792","1792","8","8","8","1792","1792","1792","8","8","8","1792","1792","1792","6","6","6","1792","1792","1792","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1793","3","3","3","1793","1793","1793","6","6","6","1793","1793","1793","8","8","8","1793","1793","1793","6","6","6","1793","1793","1793","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1794","6","6","6","1794","1794","1794","6","6","6","1794","1794","1794","8","8","8","1794","1794","1794","5","5","5","1794","1794","1794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1795","5","5","5","1795","1795","1795","1","1","1","1795","1795","1795","6","6","6","1795","1795","1795","5","5","5","1795","1795","1795","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1796","6","6","6","1796","1796","1796","4","4","4","1796","1796","1796","6","6","6","1796","1796","1796","5","5","5","1796","1796","1796","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1797","5","5","5","1797","1797","1797","8","8","8","1797","1797","1797","6","6","6","1797","1797","1797","6","6","6","1797","1797","1797","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1798","4","4","4","1798","1798","1798","7","7","7","1798","1798","1798","6","6","6","1798","1798","1798","5","5","5","1798","1798","1798","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1799","7","7","7","1799","1799","1799","6","6","6","1799","1799","1799","6","6","6","1799","1799","1799","5","5","5","1799","1799","1799","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800","5","5","5","1800","1800","1800","4","4","4","1800","1800","1800","6","6","6","1800","1800","1800","5","5","5","1800","1800","1800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1801","8","8","8","1801","1801","1801","7","7","7","1801","1801","1801","6","6","6","1801","1801","1801","6","6","6","1801","1801","1801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1802","6","6","6","1802","1802","1802","7","7","7","1802","1802","1802","6","6","6","1802","1802","1802","6","6","6","1802","1802","1802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1803","5","5","5","1803","1803","1803","9","9","9","1803","1803","1803","6","6","6","1803","1803","1803","6","6","6","1803","1803","1803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1804","6","6","6","1804","1804","1804","4","4","4","1804","1804","1804","6","6","6","1804","1804","1804","6","6","6","1804","1804","1804","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1805","4","4","4","1805","1805","1805","5","5","5","1805","1805","1805","6","6","6","1805","1805","1805","6","6","6","1805","1805","1805","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1806","5","5","5","1806","1806","1806","8","8","8","1806","1806","1806","6","6","6","1806","1806","1806","7","7","7","1806","1806","1806","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1807","4","4","4","1807","1807","1807","5","5","5","1807","1807","1807","6","6","6","1807","1807","1807","6","6","6","1807","1807","1807","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1808","5","5","5","1808","1808","1808","6","6","6","1808","1808","1808","6","6","6","1808","1808","1808","6","6","6","1808","1808","1808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1809","2","2","2","1809","1809","1809","3","3","3","1809","1809","1809","6","6","6","1809","1809","1809","6","6","6","1809","1809","1809","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1810","4","4","4","1810","1810","1810","8","8","8","1810","1810","1810","6","6","6","1810","1810","1810","6","6","6","1810","1810","1810","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1811","6","6","6","1811","1811","1811","7","7","7","1811","1811","1811","6","6","6","1811","1811","1811","6","6","6","1811","1811","1811","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1812","3","3","3","1812","1812","1812","4","4","4","1812","1812","1812","5","5","5","1812","1812","1812","6","6","6","1812","1812","1812","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1813","10","10","10","1813","1813","1813","7","7","7","1813","1813","1813","5","5","5","1813","1813","1813","6","6","6","1813","1813","1813","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1814","5","5","5","1814","1814","1814","3","3","3","1814","1814","1814","5","5","5","1814","1814","1814","6","6","6","1814","1814","1814","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1815","3","3","3","1815","1815","1815","7","7","7","1815","1815","1815","2","2","2","1815","1815","1815","6","6","6","1815","1815","1815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1816","4","4","4","1816","1816","1816","3","3","3","1816","1816","1816","5","5","5","1816","1816","1816","6","6","6","1816","1816","1816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1817","7","7","7","1817","1817","1817","4","4","4","1817","1817","1817","5","5","5","1817","1817","1817","6","6","6","1817","1817","1817","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1818","6","6","6","1818","1818","1818","7","7","7","1818","1818","1818","5","5","5","1818","1818","1818","6","6","6","1818","1818","1818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1819","5","5","5","1819","1819","1819","3","3","3","1819","1819","1819","5","5","5","1819","1819","1819","6","6","6","1819","1819","1819","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1820","5","5","5","1820","1820","1820","3","3","3","1820","1820","1820","5","5","5","1820","1820","1820","6","6","6","1820","1820","1820","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1821","5","5","5","1821","1821","1821","8","8","8","1821","1821","1821","5","5","5","1821","1821","1821","6","6","6","1821","1821","1821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1822","4","4","4","1822","1822","1822","3","3","3","1822","1822","1822","5","5","5","1822","1822","1822","4","4","4","1822","1822","1822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1823","9","9","9","1823","1823","1823","4","4","4","1823","1823","1823","5","5","5","1823","1823","1823","7","7","7","1823","1823","1823","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1824","6","6","6","1824","1824","1824","4","4","4","1824","1824","1824","5","5","5","1824","1824","1824","8","8","8","1824","1824","1824","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1825","7","7","7","1825","1825","1825","6","6","6","1825","1825","1825","5","5","5","1825","1825","1825","4","4","4","1825","1825","1825","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1826","7","7","7","1826","1826","1826","2","2","2","1826","1826","1826","5","5","5","1826","1826","1826","7","7","7","1826","1826","1826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1827","7","7","7","1827","1827","1827","6","6","6","1827","1827","1827","5","5","5","1827","1827","1827","4","4","4","1827","1827","1827","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1828","9","9","9","1828","1828","1828","8","8","8","1828","1828","1828","5","5","5","1828","1828","1828","7","7","7","1828","1828","1828","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1829","8","8","8","1829","1829","1829","6","6","6","1829","1829","1829","5","5","5","1829","1829","1829","4","4","4","1829","1829","1829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1830","7","7","7","1830","1830","1830","4","4","4","1830","1830","1830","5","5","5","1830","1830","1830","7","7","7","1830","1830","1830","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1831","7","7","7","1831","1831","1831","5","5","5","1831","1831","1831","5","5","5","1831","1831","1831","4","4","4","1831","1831","1831","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1832","7","7","7","1832","1832","1832","4","4","4","1832","1832","1832","6","6","6","1832","1832","1832","7","7","7","1832","1832","1832","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1833","4","4","4","1833","1833","1833","5","5","5","1833","1833","1833","6","6","6","1833","1833","1833","7","7","7","1833","1833","1833","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1834","5","5","5","1834","1834","1834","5","5","5","1834","1834","1834","6","6","6","1834","1834","1834","7","7","7","1834","1834","1834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1835","5","5","5","1835","1835","1835","7","7","7","1835","1835","1835","6","6","6","1835","1835","1835","7","7","7","1835","1835","1835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1836","9","9","9","1836","1836","1836","6","6","6","1836","1836","1836","7","7","7","1836","1836","1836","4","4","4","1836","1836","1836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1837","8","8","8","1837","1837","1837","3","3","3","1837","1837","1837","7","7","7","1837","1837","1837","7","7","7","1837","1837","1837","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1838","7","7","7","1838","1838","1838","6","6","6","1838","1838","1838","7","7","7","1838","1838","1838","4","4","4","1838","1838","1838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1839","5","5","5","1839","1839","1839","5","5","5","1839","1839","1839","5","5","5","1839","1839","1839","7","7","7","1839","1839","1839","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1840","6","6","6","1840","1840","1840","6","6","6","1840","1840","1840","7","7","7","1840","1840","1840","4","4","4","1840","1840","1840","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1841","6","6","6","1841","1841","1841","4","4","4","1841","1841","1841","5","5","5","1841","1841","1841","7","7","7","1841","1841","1841","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1842","5","5","5","1842","1842","1842","6","6","6","1842","1842","1842","2","2","2","1842","1842","1842","4","4","4","1842","1842","1842","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1843","3","3","3","1843","1843","1843","6","6","6","1843","1843","1843","5","5","5","1843","1843","1843","7","7","7","1843","1843","1843","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1844","2","2","2","1844","1844","1844","3","3","3","1844","1844","1844","5","5","5","1844","1844","1844","4","4","4","1844","1844","1844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1845","4","4","4","1845","1845","1845","5","5","5","1845","1845","1845","5","5","5","1845","1845","1845","7","7","7","1845","1845","1845","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1846","5","5","5","1846","1846","1846","6","6","6","1846","1846","1846","5","5","5","1846","1846","1846","4","4","4","1846","1846","1846","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1847","4","4","4","1847","1847","1847","6","6","6","1847","1847","1847","5","5","5","1847","1847","1847","7","7","7","1847","1847","1847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1848","6","6","6","1848","1848","1848","4","4","4","1848","1848","1848","5","5","5","1848","1848","1848","4","4","4","1848","1848","1848","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1849","2","2","2","1849","1849","1849","8","8","8","1849","1849","1849","5","5","5","1849","1849","1849","7","7","7","1849","1849","1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1850","4","4","4","1850","1850","1850","4","4","4","1850","1850","1850","5","5","5","1850","1850","1850","4","4","4","1850","1850","1850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1851","5","5","5","1851","1851","1851","6","6","6","1851","1851","1851","5","5","5","1851","1851","1851","7","7","7","1851","1851","1851","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1852","6","6","6","1852","1852","1852","7","7","7","1852","1852","1852","5","5","5","1852","1852","1852","4","4","4","1852","1852","1852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1853","5","5","5","1853","1853","1853","7","7","7","1853","1853","1853","7","7","7","1853","1853","1853","7","7","7","1853","1853","1853","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1854","6","6","6","1854","1854","1854","6","6","6","1854","1854","1854","7","7","7","1854","1854","1854","4","4","4","1854","1854","1854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1855","4","4","4","1855","1855","1855","8","8","8","1855","1855","1855","7","7","7","1855","1855","1855","7","7","7","1855","1855","1855","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1856","8","8","8","1856","1856","1856","2","2","2","1856","1856","1856","7","7","7","1856","1856","1856","4","4","4","1856","1856","1856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1857","7","7","7","1857","1857","1857","10","10","10","1857","1857","1857","7","7","7","1857","1857","1857","7","7","7","1857","1857","1857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1858","6","6","6","1858","1858","1858","5","5","5","1858","1858","1858","7","7","7","1858","1858","1858","4","4","4","1858","1858","1858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1859","7","7","7","1859","1859","1859","6","6","6","1859","1859","1859","7","7","7","1859","1859","1859","7","7","7","1859","1859","1859","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1860","8","8","8","1860","1860","1860","6","6","6","1860","1860","1860","7","7","7","1860","1860","1860","4","4","4","1860","1860","1860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1861","4","4","4","1861","1861","1861","7","7","7","1861","1861","1861","7","7","7","1861","1861","1861","7","7","7","1861","1861","1861","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1862","6","6","6","1862","1862","1862","4","4","4","1862","1862","1862","6","6","6","1862","1862","1862","6","6","6","1862","1862","1862","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1863","3","3","3","1863","1863","1863","5","5","5","1863","1863","1863","7","7","7","1863","1863","1863","7","7","7","1863","1863","1863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1864","5","5","5","1864","1864","1864","6","6","6","1864","1864","1864","7","7","7","1864","1864","1864","6","6","6","1864","1864","1864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1865","7","7","7","1865","1865","1865","6","6","6","1865","1865","1865","7","7","7","1865","1865","1865","7","7","7","1865","1865","1865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1866","7","7","7","1866","1866","1866","7","7","7","1866","1866","1866","7","7","7","1866","1866","1866","6","6","6","1866","1866","1866","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1867","8","8","8","1867","1867","1867","9","9","9","1867","1867","1867","7","7","7","1867","1867","1867","7","7","7","1867","1867","1867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1868","9","9","9","1868","1868","1868","3","3","3","1868","1868","1868","7","7","7","1868","1868","1868","6","6","6","1868","1868","1868","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1869","6","6","6","1869","1869","1869","5","5","5","1869","1869","1869","7","7","7","1869","1869","1869","7","7","7","1869","1869","1869","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1870","8","8","8","1870","1870","1870","5","5","5","1870","1870","1870","7","7","7","1870","1870","1870","6","6","6","1870","1870","1870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1871","4","4","4","1871","1871","1871","5","5","5","1871","1871","1871","7","7","7","1871","1871","1871","7","7","7","1871","1871","1871","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1872","4","4","4","1872","1872","1872","5","5","5","1872","1872","1872","7","7","7","1872","1872","1872","6","6","6","1872","1872","1872","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1873","6","6","6","1873","1873","1873","5","5","5","1873","1873","1873","7","7","7","1873","1873","1873","7","7","7","1873","1873","1873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1874","7","7","7","1874","1874","1874","5","5","5","1874","1874","1874","7","7","7","1874","1874","1874","6","6","6","1874","1874","1874","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1875","5","5","5","1875","1875","1875","4","4","4","1875","1875","1875","7","7","7","1875","1875","1875","7","7","7","1875","1875","1875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1876","4","4","4","1876","1876","1876","6","6","6","1876","1876","1876","7","7","7","1876","1876","1876","6","6","6","1876","1876","1876","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1877","3","3","3","1877","1877","1877","4","4","4","1877","1877","1877","7","7","7","1877","1877","1877","7","7","7","1877","1877","1877","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1878","3","3","3","1878","1878","1878","4","4","4","1878","1878","1878","7","7","7","1878","1878","1878","6","6","6","1878","1878","1878","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1879","8","8","8","1879","1879","1879","8","8","8","1879","1879","1879","4","4","4","1879","1879","1879","8","8","8","1879","1879","1879","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1880","8","8","8","1880","1880","1880","6","6","6","1880","1880","1880","7","7","7","1880","1880","1880","5","5","5","1880","1880","1880","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1881","6","6","6","1881","1881","1881","9","9","9","1881","1881","1881","7","7","7","1881","1881","1881","7","7","7","1881","1881","1881","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1882","4","4","4","1882","1882","1882","5","5","5","1882","1882","1882","7","7","7","1882","1882","1882","6","6","6","1882","1882","1882","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883","3","3","3","1883","1883","1883","6","6","6","1883","1883","1883","7","7","7","1883","1883","1883","4","4","4","1883","1883","1883","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1884","8","8","8","1884","1884","1884","6","6","6","1884","1884","1884","7","7","7","1884","1884","1884","9","9","9","1884","1884","1884","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1885","6","6","6","1885","1885","1885","3","3","3","1885","1885","1885","7","7","7","1885","1885","1885","5","5","5","1885","1885","1885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1886","7","7","7","1886","1886","1886","6","6","6","1886","1886","1886","7","7","7","1886","1886","1886","4","4","4","1886","1886","1886","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1887","10","10","10","1887","1887","1887","6","6","6","1887","1887","1887","7","7","7","1887","1887","1887","4","4","4","1887","1887","1887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1888","7","7","7","1888","1888","1888","6","6","6","1888","1888","1888","7","7","7","1888","1888","1888","6","6","6","1888","1888","1888","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1889","6","6","6","1889","1889","1889","3","3","3","1889","1889","1889","7","7","7","1889","1889","1889","6","6","6","1889","1889","1889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1890","7","7","7","1890","1890","1890","6","6","6","1890","1890","1890","7","7","7","1890","1890","1890","6","6","6","1890","1890","1890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1891","6","6","6","1891","1891","1891","6","6","6","1891","1891","1891","8","8","8","1891","1891","1891","6","6","6","1891","1891","1891","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1892","6","6","6","1892","1892","1892","5","5","5","1892","1892","1892","8","8","8","1892","1892","1892","6","6","6","1892","1892","1892","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1893","4","4","4","1893","1893","1893","8","8","8","1893","1893","1893","8","8","8","1893","1893","1893","6","6","6","1893","1893","1893","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1894","4","4","4","1894","1894","1894","8","8","8","1894","1894","1894","8","8","8","1894","1894","1894","6","6","6","1894","1894","1894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1895","6","6","6","1895","1895","1895","7","7","7","1895","1895","1895","8","8","8","1895","1895","1895","4","4","4","1895","1895","1895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1896","8","8","8","1896","1896","1896","6","6","6","1896","1896","1896","8","8","8","1896","1896","1896","4","4","4","1896","1896","1896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1897","9","9","9","1897","1897","1897","3","3","3","1897","1897","1897","8","8","8","1897","1897","1897","4","4","4","1897","1897","1897","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1898","3","3","3","1898","1898","1898","5","5","5","1898","1898","1898","8","8","8","1898","1898","1898","4","4","4","1898","1898","1898","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1899","6","6","6","1899","1899","1899","5","5","5","1899","1899","1899","8","8","8","1899","1899","1899","8","8","8","1899","1899","1899","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1900","3","3","3","1900","1900","1900","4","4","4","1900","1900","1900","7","7","7","1900","1900","1900","4","4","4","1900","1900","1900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1901","6","6","6","1901","1901","1901","4","4","4","1901","1901","1901","7","7","7","1901","1901","1901","9","9","9","1901","1901","1901","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1902","5","5","5","1902","1902","1902","7","7","7","1902","1902","1902","7","7","7","1902","1902","1902","5","5","5","1902","1902","1902","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
